player_id,tx_id,psp_tx_id,pan,type,request_date_utc,update_date_utc,payment_method,amount,amount_trx,player_fee,email_address,nickname,ip_address,agent_fee,tax,sit,bin_country,country,agent,marketing_type,status,detail,transaction_status,auditor
c8c9f6cf-c191-48b9-bf77-48ada4ffc603,e93dde48-eb23-4344-865a-fcdde746af78,cab001d0-4b7b-45c4-b69c-dfe66e69af84,3513034727616255,deposit,2025-04-13T15:40:37,2025-04-13T15:41:37,Visa,89.79,89.79,0.9,barbara62@example.org,mike01,107.17.254.55,1.8,4.49,door,EC,PT,Leslie Nguyen,organic,pending,More individual government spend also and.,flagged,Jeremy Juarez
5c11b962-8987-4d5e-8348-cb4545f86662,7a99af59-2f92-480f-ba58-2f7c4e5ad445,78157d35-47ef-4edd-a005-d5916107faab,3502505946703084,deposit,2025-04-05T04:34:10,2025-04-05T05:03:10,Visa,7914.33,7914.33,79.14,michellewalker@example.net,erikgomez,217.234.242.213,158.29,395.72,her,DZ,KW,Casey Wright,affiliate,failed,Trial nation sing.,flagged,Robert Anderson
ca007ab5-6648-4afe-bb2e-a9850e405c80,a147f4e9-8b6b-45ad-b68b-7b023698f41d,8abbf9ef-21fe-48c5-8e76-113a590cc094,3523793344707965,deposit,2025-04-15T11:26:20,2025-04-15T11:59:20,PayPal,2208.73,2208.73,22.09,swansonelizabeth@example.org,tmartinez,178.171.63.108,44.17,110.44,expert,MG,BE,Curtis Dalton,email,completed,Natural security military fill gas fill.,held,Amy Larson
419e3a57-3ff6-4390-a476-06f468c31ab8,afb92a4a-9062-492e-a58b-a43ff2d5f81a,89168e6b-9d5c-4e0f-a7be-dfb371b745ae,4114751248946728,deposit,2025-04-23T05:58:05,2025-04-23T06:19:05,Visa,976.87,976.87,9.77,simpsondaniel@example.com,brittanyjohnson,192.179.93.46,19.54,48.84,note,CU,GB,Courtney Ramirez,affiliate,pending,Set again effort hand worry century.,held,Steven Rice
e4ff38f0-be6c-400b-a0f9-f68884c923c6,e0edd25a-8faa-4b1e-85ba-5cd21b938da1,39f42293-744a-4090-b3b4-044870f9b80d,3501993694295654,deposit,2025-04-06T06:47:03,2025-04-06T06:51:03,MasterCard,4500.11,4500.11,45.0,powellriley@example.org,murphysandra,34.74.153.21,90.0,225.01,chance,SB,GH,Heidi Bernard,organic,completed,Store store game kitchen generation feeling receive.,flagged,Shelly Boone
494e05e3-a852-4005-9b13-23c9df565be0,278b7c2f-58f1-468c-98c8-788231a6a73a,4e354239-0fde-4928-87d7-f506b6bf5594,36060527205795,withdrawal,2025-04-10T19:13:28,2025-04-10T19:55:28,MasterCard,392.09,392.09,3.92,perrylevi@example.com,stacy59,214.13.71.94,7.84,19.6,onto,IL,KG,Christina Levy,email,failed,Know hand street loss.,held,Matthew Williams
9f86e2dc-7a62-4fb4-998f-563a6bfe2339,f0cec463-3b88-42bc-9076-b2e70a571127,ed1677d1-3e5c-4255-9b92-f4f7d476bc78,180087313077660,deposit,2025-04-03T18:54:26,2025-04-03T19:01:26,Visa,1251.15,1251.15,12.51,ryan04@example.org,kimberly83,72.20.29.117,25.02,62.56,word,AD,KG,Ian Davis,affiliate,completed,Whatever left security loss agency interview.,cleared,Susan Smith
d9740a44-8e4e-4ce5-a502-2a874311f140,22dd6a56-9e07-4f73-95ae-3541f98f89bb,9bfbf08f-8d92-4861-a2a1-0c17a1e6d26d,4792108314236,withdrawal,2025-04-27T22:37:58,2025-04-27T23:33:58,Crypto,8488.62,8488.62,84.89,michaelrichards@example.org,joycejonathan,123.79.65.243,169.77,424.43,day,GM,MC,Dillon Graves,affiliate,pending,Range item sit.,cleared,Matthew Mclean
7c04eba2-243e-4605-8adc-712982f14fbf,ba3a6950-3035-4751-b2cd-1f49c48509dd,a8616776-3f8c-4188-9ad9-5b0177d19181,4426060587279649,deposit,2025-04-14T13:06:15,2025-04-14T13:44:15,MasterCard,784.66,784.66,7.85,laurabryan@example.net,thomasjeffery,153.146.232.240,15.69,39.23,kitchen,IQ,BZ,Morgan Sanders,email,completed,Piece family hot subject present someone.,cleared,Todd Rocha
8ffb8a8f-0af7-4ff3-9e30-0a8182b2dc62,eae5a875-9d19-47ff-9b8c-5d6aa9c3f433,2b6955d1-c21c-43af-a032-8e028548172a,38792697455473,deposit,2025-04-20T15:12:00,2025-04-20T15:46:00,Visa,5337.73,5337.73,53.38,walshandre@example.net,evan07,86.246.217.55,106.75,266.89,against,RO,GB,Kelly Mcdonald,organic,failed,Shake measure worker should.,cleared,Chris Wright
