,Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
0,2022/09/01 19:42,140304,80F877B90,140304,80F877B90,20.96,Swiss Franc,20.96,Swiss Franc,Reinvestment,0
1,2022/09/10 04:41,1362,800597E90,2385,806954880,1829.4,US Dollar,1829.4,US Dollar,ACH,1
2,2022/09/02 11:32,138395,80E8DB8D0,238190,80F684920,17154983.76,Swiss Franc,17154983.76,Swiss Franc,Cheque,0
3,2022/09/06 02:40,70,100428660,513,805235490,10034.05,US Dollar,10034.05,US Dollar,Cheque,1
4,2022/09/01 01:38,3,804A3F5F0,13029,804C9DF20,908584.81,Rupee,908584.81,Rupee,ACH,0
5,2022/09/09 12:02,348286,811C389E0,148016,811C53230,1439.79,Saudi Riyal,1439.79,Saudi Riyal,Credit Card,0
6,2022/09/01 07:54,335793,80DCF19C0,20248,80DCF23B0,22510.35,Euro,22510.35,Euro,Cheque,0
7,2022/09/06 10:33,1267,800E00D50,14,801ED33F0,263.34,Yuan,263.34,Yuan,ACH,0
8,2022/09/09 00:18,22345,801B0C870,215266,80FA67C30,33.09,US Dollar,33.09,US Dollar,Credit Card,0
9,2022/09/01 05:49,43049,80FF89190,217,8101478B0,8499.22,Shekel,8499.22,Shekel,Cheque,0
